mGL-A,mGL-H,cond,replicate,sampleNum
119,132,Neg,1,1
37,66,Neg,1,1
4,32,Neg,0,1
79,87,Neg,1,1
64,98,Neg,0,1
84,84,Neg,1,1
35,78,Neg,0,1
94,67,Neg,0,1
35,55,Neg,1,1
266,135,Neg,0,1
99,86,Neg,0,1
27,90,Neg,0,1
181,87,Neg,0,1
105,58,Neg,0,1
46,64,Neg,1,1
104,102,Neg,2,1
185,142,Neg,2,1
45,87,Neg,0,1
27,65,Neg,1,1
10,47,Neg,1,1
83,74,Neg,1,1
31,54,Neg,2,1
176,91,Neg,0,1
26,48,Neg,0,1
118,96,Neg,1,1
16,51,Neg,2,1
56,78,Neg,0,1
4,92,Neg,1,1
85,87,Neg,2,1
101,98,Neg,0,1
18,68,Neg,1,1
1,50,Neg,1,1
41,73,Neg,0,1
87,67,Neg,0,1
46,59,Neg,2,1
60,100,Neg,0,1
110,73,Neg,1,1
94,72,Neg,1,1
154,76,Neg,0,1
94,58,Neg,0,1
124,73,Neg,0,1
100,63,Neg,2,1
7,58,Neg,1,1
74,73,Neg,1,1
91,48,Neg,0,1
76,81,Neg,0,1
132,81,Neg,2,1
14,84,Neg,1,1
93,59,Neg,0,1
45,48,Neg,0,1
52,46,Neg,0,1
118,79,Neg,1,1
31,54,Neg,0,1
122,63,Neg,0,1
161,136,Neg,0,1
32,66,Neg,0,1
10,80,Neg,0,1
45,55,Neg,0,1
33,97,Neg,0,1
165,79,Neg,0,1
5,66,Neg,0,1
77,51,Neg,0,1
183,76,Neg,0,1
38,65,Neg,0,1
126,94,Neg,1,1
19,64,Neg,1,1
117,87,Neg,0,1
43,64,Neg,2,1
10,35,Neg,1,1
21,74,Neg,0,1
21,80,Neg,0,1
20,75,Neg,1,1
111,177,Neg,2,1
153,76,Neg,0,1
33,56,Neg,1,1
150,68,Neg,2,1
35,78,Neg,0,1
52,84,Neg,2,1
95,87,Neg,0,1
116,68,Neg,1,1
88,98,Neg,0,1
49,141,Neg,1,1
102,98,Neg,2,1
62,62,Neg,0,1
78,83,Neg,0,1
71,94,Neg,0,1
58,67,Neg,1,1
24,61,Neg,0,1
79,64,Neg,1,1
31,62,Neg,0,1
45,54,Neg,0,1
80,98,Neg,1,1
43,50,Neg,1,1
128,74,Neg,2,1
1,67,Neg,2,1
47,75,Neg,0,1
15,83,Neg,1,1
46,60,Neg,0,1
83,61,Neg,1,1
4,43,Neg,0,1
104,80,Neg,1,1
48,54,Neg,0,1
105,81,Neg,1,1
73,69,Neg,2,1
12,61,Neg,0,1
88,75,Neg,1,1
43,67,Neg,1,1
54,79,Neg,2,1
7,65,Neg,0,1
1,46,Neg,0,1
88,92,Neg,1,1
39,105,Neg,0,1
138,88,Neg,1,1
152,83,Neg,0,1
32,43,Neg,1,1
6,31,Neg,2,1
113,68,Neg,2,1
54,60,Neg,0,1
47,106,Neg,0,1
115,75,Neg,0,1
22,84,Neg,0,1
50,82,Neg,1,1
53,53,Neg,0,1
19,66,Neg,0,1
171,91,Neg,1,1
16,96,Neg,2,1
62,85,Neg,0,1
35,48,Neg,1,1
23,66,Neg,2,1
67,71,Neg,1,1
55,63,Neg,1,1
5,59,Neg,0,1
100,62,Neg,0,1
65,105,Neg,1,1
79,94,Neg,1,1
77,46,Neg,0,1
16,73,Neg,0,1
13,52,Neg,1,1
64,81,Neg,2,1
60,116,Neg,0,1
61,64,Neg,0,1
23,103,Neg,0,1
54,90,Neg,2,1
20,47,Neg,0,1
62,59,Neg,0,1
117,66,Neg,0,1
60,66,Neg,2,1
4,58,Neg,1,1
48,61,Neg,1,1
49,57,Neg,2,1
117,77,Neg,2,1
93,65,Neg,2,1
67,61,Neg,1,1
54,58,Neg,0,1
5,66,Neg,2,1
135,95,Neg,0,1
94,83,Neg,1,1
31,56,Neg,2,1
115,108,Neg,1,1
44,81,Neg,1,1
18,56,Neg,1,1
71,48,Neg,0,1
14,75,Neg,2,1
112,84,Neg,0,1
52,67,Neg,2,1
39,97,Neg,0,1
71,98,Neg,2,1
51,53,Neg,0,1
5,97,Neg,0,1
14,60,Neg,0,1
121,104,Neg,0,1
43,54,Neg,0,1
25,76,Neg,2,1
12,80,Neg,0,1
162,80,Neg,1,1
45,50,Neg,0,1
39,99,Neg,0,1
128,115,Neg,2,1
72,69,Neg,1,1
87,57,Neg,0,1
29,60,Neg,0,1
38,99,Neg,1,1
74,52,Neg,0,1
76,97,Neg,2,1
2,112,Neg,0,1
146,88,Neg,0,1
139,78,Neg,1,1
88,80,Neg,0,1
77,50,Neg,0,1
71,73,Neg,0,1
64,144,Neg,0,1
1,65,Neg,2,1
89,73,Neg,2,1
150,119,Neg,0,1
89,58,Neg,1,1
61,79,Neg,0,1
37,57,Neg,1,1
87,112,Neg,2,1
111,69,Neg,0,1
48,70,Neg,0,1
37,62,Neg,0,1
159,101,Neg,0,1
39,75,Neg,1,1
179,83,Neg,0,1
47,69,Neg,2,1
54,74,Neg,1,1
49,61,Neg,0,1
30,61,Neg,0,1
132,116,Neg,2,1
66,57,Neg,1,1
50,58,Neg,1,1
194,138,Neg,2,1
24,55,Neg,1,1
144,84,Neg,0,1
165,75,Neg,1,1
124,76,Neg,0,1
19,45,Neg,0,1
21,58,Neg,2,1
133,67,Neg,1,1
14,61,Neg,1,1
20,47,Neg,1,1
115,80,Neg,2,1
13,66,Neg,0,1
50,46,Neg,2,1
76,55,Neg,1,1
16,70,Neg,2,1
32,111,Neg,0,1
181,148,Neg,0,1
56,95,Neg,1,1
56,103,Neg,0,1
42,74,Neg,1,1
1,64,Neg,0,1
95,102,Neg,1,1
94,62,Neg,1,1
72,121,Neg,0,1
20,63,Neg,0,1
102,94,Neg,0,1
54,75,Neg,2,1
116,99,Neg,0,1
84,81,Neg,2,1
19,64,Neg,0,1
83,61,Neg,1,1
134,114,Neg,0,1
124,102,Neg,0,1
8,94,Neg,1,1
129,71,Neg,1,1
107,73,Neg,1,1
156,78,Neg,2,1
4,61,Neg,1,1
106,107,Neg,2,1
74,67,Neg,1,1
40,65,Neg,1,1
13,110,Neg,1,1
73,79,Neg,0,1
106,73,Neg,2,1
124,74,Neg,2,1
163,125,Neg,0,1
132,85,Neg,1,1
112,72,Neg,1,1
105,97,Neg,2,1
84,73,Neg,1,1
105,68,Neg,1,1
60,75,Neg,1,1
8,57,Neg,1,1
28,81,Neg,0,1
38,60,Neg,0,1
67,72,Neg,2,1
37,76,Neg,1,1
57,66,Neg,0,1
41,51,Neg,0,1
163,99,Neg,0,1
96,73,Neg,1,1
116,117,Neg,1,1
138,88,Neg,1,1
141,82,Neg,0,1
65,68,Neg,0,1
32,85,Neg,1,1
48,74,Neg,0,1
133,64,Neg,0,1
5,80,Neg,1,1
15,59,Neg,1,1
7,70,Neg,0,1
6,50,Neg,0,1
64,60,Neg,0,1
43,62,Neg,0,1
73,60,Neg,2,1
59,78,Neg,0,1
60,53,Neg,0,1
70,66,Neg,1,1
110,88,Neg,1,1
51,80,Neg,0,1
60,80,Neg,0,1
41,54,Neg,0,1
106,63,Neg,1,1
37,63,Neg,0,1
11,49,Neg,1,1
52,105,Neg,0,1
4,29,Neg,0,1
20,71,Neg,1,1
101,62,Neg,0,1
135,87,Neg,0,1
177,112,Neg,1,1
40,63,Neg,0,1
123,69,Neg,0,1
35,40,Neg,0,1
74,80,Neg,0,1
9,61,Neg,2,1
54,82,Neg,0,1
64,57,Neg,0,1
40,93,Neg,0,1
84,74,Neg,0,1
47,50,Neg,1,1
74,73,Neg,0,1
45,65,Neg,1,1
4,82,Neg,1,1
121,84,Neg,1,1
81,81,Neg,0,1
85,93,Neg,2,1
87,91,Neg,1,1
129,100,Neg,2,1
44,81,Neg,0,1
14,44,Neg,2,1
15,49,Neg,1,1
3,60,Neg,0,1
49,92,Neg,1,1
152,96,Neg,0,1
124,91,Neg,0,1
11,67,Neg,1,1
141,96,Neg,0,1
129,112,Neg,1,1
61,60,Neg,0,1
14,61,Neg,0,1
85,46,Neg,1,1
54,60,Neg,0,1
34,50,Neg,0,1
16,74,Neg,1,1
160,87,Neg,2,1
80,107,Neg,0,1
43,50,Neg,1,1
101,57,Neg,0,1
30,85,Neg,2,1
15,52,Neg,2,1
86,92,Neg,0,1
30,54,Neg,1,1
54,105,Neg,0,1
15,79,Neg,0,1
31,63,Neg,0,1
25,75,Neg,1,1
72,81,Neg,1,1
104,74,Neg,0,1
36,96,Neg,1,1
103,86,Neg,2,1
111,93,Neg,0,1
15,64,Neg,2,1
