CFSE-A,sulfo-Cyanine5-A,replicate,sampleNum,cond
4724,84,0,0,CFSE_NaAz
3553,96,0,0,CFSE_NaAz
3177,31,0,0,CFSE_NaAz
4610,85,0,0,CFSE_NaAz
15506,77,1,0,CFSE_NaAz
842,19,0,0,CFSE_NaAz
1318,33,0,0,CFSE_NaAz
366,58,1,0,CFSE_NaAz
4493,7,1,0,CFSE_NaAz
2561,25,1,0,CFSE_NaAz
1562,71,0,0,CFSE_NaAz
1293,37,0,0,CFSE_NaAz
1317,46,0,0,CFSE_NaAz
6473,184,0,0,CFSE_NaAz
823,109,0,0,CFSE_NaAz
905,23,0,0,CFSE_NaAz
8475,86,0,0,CFSE_NaAz
3084,8,0,0,CFSE_NaAz
2696,32,0,0,CFSE_NaAz
447,61,0,0,CFSE_NaAz
4707,24,0,0,CFSE_NaAz
1393,27,0,0,CFSE_NaAz
3075,15,1,0,CFSE_NaAz
4058,76,0,0,CFSE_NaAz
4917,69,0,0,CFSE_NaAz
595,116,1,0,CFSE_NaAz
3182,49,0,0,CFSE_NaAz
4912,178,0,0,CFSE_NaAz
215,12,0,0,CFSE_NaAz
5521,65,0,0,CFSE_NaAz
25,71,0,0,CFSE_NaAz
5880,43,1,0,CFSE_NaAz
2115,132,1,0,CFSE_NaAz
9801,6,1,0,CFSE_NaAz
2063,43,1,0,CFSE_NaAz
782,108,0,0,CFSE_NaAz
2281,74,1,0,CFSE_NaAz
4687,152,0,0,CFSE_NaAz
3400,3,0,0,CFSE_NaAz
5474,16,0,0,CFSE_NaAz
4929,2,0,0,CFSE_NaAz
2472,33,0,0,CFSE_NaAz
2006,3,0,0,CFSE_NaAz
2496,18,0,0,CFSE_NaAz
282,102,0,0,CFSE_NaAz
10076,23,0,0,CFSE_NaAz
1772,37,1,0,CFSE_NaAz
493,24,0,0,CFSE_NaAz
4181,92,1,0,CFSE_NaAz
750,114,1,0,CFSE_NaAz
800,45,0,0,CFSE_NaAz
4811,39,0,0,CFSE_NaAz
1454,44,0,0,CFSE_NaAz
3234,25,0,0,CFSE_NaAz
2441,7,0,0,CFSE_NaAz
6497,12,0,0,CFSE_NaAz
5181,40,0,0,CFSE_NaAz
683,38,0,0,CFSE_NaAz
3951,193,0,0,CFSE_NaAz
5659,32,1,0,CFSE_NaAz
5378,2,0,0,CFSE_NaAz
31656,134,0,0,CFSE_NaAz
8837,44,0,0,CFSE_NaAz
10926,30,0,0,CFSE_NaAz
10031,2,1,0,CFSE_NaAz
10439,60,1,0,CFSE_NaAz
14505,95,0,0,CFSE_NaAz
12540,19,0,0,CFSE_NaAz
2024,50,0,0,CFSE_NaAz
1429,33,0,0,CFSE_NaAz
2876,26,0,0,CFSE_NaAz
2457,26,0,0,CFSE_NaAz
3138,52,0,0,CFSE_NaAz
915,17,0,0,CFSE_NaAz
15161,119,0,0,CFSE_NaAz
8894,94,0,0,CFSE_NaAz
4822,102,1,0,CFSE_NaAz
630,36,1,0,CFSE_NaAz
10995,57,0,0,CFSE_NaAz
1712,29,0,0,CFSE_NaAz
3253,37,0,0,CFSE_NaAz
3801,132,0,0,CFSE_NaAz
14052,123,1,0,CFSE_NaAz
7470,80,1,0,CFSE_NaAz
9285,73,0,0,CFSE_NaAz
611,51,0,0,CFSE_NaAz
522,32,0,0,CFSE_NaAz
2016,13,1,0,CFSE_NaAz
876,65,1,0,CFSE_NaAz
1237,3,0,0,CFSE_NaAz
10882,48,0,0,CFSE_NaAz
3214,52,0,0,CFSE_NaAz
1229,20,0,0,CFSE_NaAz
1852,56,0,0,CFSE_NaAz
347,15,0,0,CFSE_NaAz
11681,51,0,0,CFSE_NaAz
1504,42,0,0,CFSE_NaAz
2776,9,0,0,CFSE_NaAz
4329,54,1,0,CFSE_NaAz
8680,4,0,0,CFSE_NaAz
5306,155,0,0,CFSE_NaAz
1058,3,0,0,CFSE_NaAz
2246,1,0,0,CFSE_NaAz
3546,162,0,0,CFSE_NaAz
18309,27,0,0,CFSE_NaAz
876,7,0,0,CFSE_NaAz
1755,142,0,0,CFSE_NaAz
1092,75,0,0,CFSE_NaAz
2730,80,1,0,CFSE_NaAz
1148,27,0,0,CFSE_NaAz
2076,66,0,0,CFSE_NaAz
2306,32,0,0,CFSE_NaAz
14497,64,0,0,CFSE_NaAz
2145,144,1,0,CFSE_NaAz
3984,19,0,0,CFSE_NaAz
171,4,0,0,CFSE_NaAz
3614,57,0,0,CFSE_NaAz
10628,60,0,0,CFSE_NaAz
7694,86,0,0,CFSE_NaAz
5631,48,0,0,CFSE_NaAz
1259,61,1,0,CFSE_NaAz
59129,161,0,0,CFSE_NaAz
762,2,0,0,CFSE_NaAz
11251,27,0,0,CFSE_NaAz
6563,121,1,0,CFSE_NaAz
2023,19,1,0,CFSE_NaAz
320,83,0,0,CFSE_NaAz
868,10,0,0,CFSE_NaAz
8122,19,0,0,CFSE_NaAz
1861,121,0,0,CFSE_NaAz
16416,73,0,0,CFSE_NaAz
1348,40,0,0,CFSE_NaAz
1847,46,0,0,CFSE_NaAz
4933,28,0,0,CFSE_NaAz
1987,111,0,0,CFSE_NaAz
3884,90,0,0,CFSE_NaAz
2123,29,0,0,CFSE_NaAz
257,17,0,0,CFSE_NaAz
2291,23,0,0,CFSE_NaAz
11454,163,0,0,CFSE_NaAz
3324,65,0,0,CFSE_NaAz
5572,44,1,0,CFSE_NaAz
4932,21,0,0,CFSE_NaAz
2831,7,0,0,CFSE_NaAz
16129,55,0,0,CFSE_NaAz
3452,30,0,0,CFSE_NaAz
548,69,0,0,CFSE_NaAz
15440,77,0,0,CFSE_NaAz
3770,39,0,0,CFSE_NaAz
1191,9,0,0,CFSE_NaAz
4339,70,0,0,CFSE_NaAz
3260,73,0,0,CFSE_NaAz
12875,59,0,0,CFSE_NaAz
803,26,0,0,CFSE_NaAz
428,52,0,0,CFSE_NaAz
1022,106,1,0,CFSE_NaAz
11709,119,0,0,CFSE_NaAz
3003,24,1,0,CFSE_NaAz
4523,16,0,0,CFSE_NaAz
1952,80,1,0,CFSE_NaAz
1233,53,1,0,CFSE_NaAz
3175,26,0,0,CFSE_NaAz
1306,10,1,0,CFSE_NaAz
3697,37,0,0,CFSE_NaAz
3148,48,0,0,CFSE_NaAz
4216,31,0,0,CFSE_NaAz
54212,99,0,0,CFSE_NaAz
3238,17,0,0,CFSE_NaAz
1264,113,0,0,CFSE_NaAz
3786,21,1,0,CFSE_NaAz
4584,9,0,0,CFSE_NaAz
2787,72,0,0,CFSE_NaAz
1704,28,0,0,CFSE_NaAz
2938,8,0,0,CFSE_NaAz
30496,13,1,0,CFSE_NaAz
1302,22,0,0,CFSE_NaAz
314,4193,1,0,CFSE_NaAz
11742,30,0,0,CFSE_NaAz
4084,1,0,0,CFSE_NaAz
9941,121,0,0,CFSE_NaAz
2117,44,1,0,CFSE_NaAz
16652,64,0,0,CFSE_NaAz
2809,131,1,0,CFSE_NaAz
6746,155,0,0,CFSE_NaAz
963,42,0,0,CFSE_NaAz
9772,87,0,0,CFSE_NaAz
1908,8,0,0,CFSE_NaAz
1097,82,0,0,CFSE_NaAz
23183,57,0,0,CFSE_NaAz
2227,144,0,0,CFSE_NaAz
17787,124,0,0,CFSE_NaAz
13382,55,0,0,CFSE_NaAz
4023,106,0,0,CFSE_NaAz
572,42,1,0,CFSE_NaAz
8079,14,0,0,CFSE_NaAz
32559,78,0,0,CFSE_NaAz
928,17,0,0,CFSE_NaAz
35982,9,0,0,CFSE_NaAz
1669,25,1,0,CFSE_NaAz
232,9,1,0,CFSE_NaAz
4017,31,1,0,CFSE_NaAz
6608,27,1,0,CFSE_NaAz
1538,69,0,0,CFSE_NaAz
10592,35,0,0,CFSE_NaAz
4734,31,0,0,CFSE_NaAz
2020,32,0,0,CFSE_NaAz
5861,15,0,0,CFSE_NaAz
4973,87,0,0,CFSE_NaAz
2848,60,0,0,CFSE_NaAz
23530,58,0,0,CFSE_NaAz
1058,11,0,0,CFSE_NaAz
1969,43,0,0,CFSE_NaAz
1549,19,0,0,CFSE_NaAz
2327,34,0,0,CFSE_NaAz
3104,38,1,0,CFSE_NaAz
4683,29,0,0,CFSE_NaAz
1613,16,0,0,CFSE_NaAz
2841,81,1,0,CFSE_NaAz
842,92,0,0,CFSE_NaAz
3684,60,0,0,CFSE_NaAz
13974,45,0,0,CFSE_NaAz
1659,60,1,0,CFSE_NaAz
18089,19,0,0,CFSE_NaAz
11412,1,0,0,CFSE_NaAz
1107,16,0,0,CFSE_NaAz
7561,36,1,0,CFSE_NaAz
1988,42,0,0,CFSE_NaAz
7165,6,0,0,CFSE_NaAz
823,49,0,0,CFSE_NaAz
6420,12,0,0,CFSE_NaAz
1535,44,1,0,CFSE_NaAz
3336,84,0,0,CFSE_NaAz
15574,87,1,0,CFSE_NaAz
2393,2,1,0,CFSE_NaAz
18891,73,1,0,CFSE_NaAz
575,54,0,0,CFSE_NaAz
6142,92,0,0,CFSE_NaAz
19447,11,0,0,CFSE_NaAz
2602,42,0,0,CFSE_NaAz
8040,26,1,0,CFSE_NaAz
2529,17,0,0,CFSE_NaAz
4094,89,0,0,CFSE_NaAz
1473,65,0,0,CFSE_NaAz
8647,76,1,0,CFSE_NaAz
913,73,0,0,CFSE_NaAz
3864,129,1,0,CFSE_NaAz
19600,156,1,0,CFSE_NaAz
32294,33,1,0,CFSE_NaAz
4182,34,0,0,CFSE_NaAz
12963,52,0,0,CFSE_NaAz
2881,86,1,0,CFSE_NaAz
2064,116,0,0,CFSE_NaAz
6164,78,0,0,CFSE_NaAz
6045,25,1,0,CFSE_NaAz
4563,108,0,0,CFSE_NaAz
2569,40,0,0,CFSE_NaAz
2740,52,0,0,CFSE_NaAz
3504,15,0,0,CFSE_NaAz
3529,15,0,0,CFSE_NaAz
28,87,0,0,CFSE_NaAz
4786,60,0,0,CFSE_NaAz
14738,74,0,0,CFSE_NaAz
2989,15,0,0,CFSE_NaAz
7455,116,0,0,CFSE_NaAz
9993,168,0,0,CFSE_NaAz
4257,25,0,0,CFSE_NaAz
152,1,0,0,CFSE_NaAz
4289,48,0,0,CFSE_NaAz
1083,134,0,0,CFSE_NaAz
1426,3,1,0,CFSE_NaAz
1070,56,1,0,CFSE_NaAz
1549,28,0,0,CFSE_NaAz
984,11,0,0,CFSE_NaAz
28597,103,0,0,CFSE_NaAz
1030,24,1,0,CFSE_NaAz
2732,24,0,0,CFSE_NaAz
267,43,0,0,CFSE_NaAz
1546,2,1,0,CFSE_NaAz
6604,56,1,0,CFSE_NaAz
2599,54,1,0,CFSE_NaAz
1711,120,0,0,CFSE_NaAz
2909,107,0,0,CFSE_NaAz
3334,4,0,0,CFSE_NaAz
5130,21,1,0,CFSE_NaAz
4139,13,0,0,CFSE_NaAz
10916,68,1,0,CFSE_NaAz
5201,123,0,0,CFSE_NaAz
21134,115,0,0,CFSE_NaAz
323,8,1,0,CFSE_NaAz
770,47,1,0,CFSE_NaAz
919,65,0,0,CFSE_NaAz
1332,78,0,0,CFSE_NaAz
14204,2,0,0,CFSE_NaAz
1928,138,0,0,CFSE_NaAz
7370,9,0,0,CFSE_NaAz
2444,53,0,0,CFSE_NaAz
1534,68,0,0,CFSE_NaAz
8590,4,0,0,CFSE_NaAz
676,95,1,0,CFSE_NaAz
4629,56,0,0,CFSE_NaAz
2356,66,0,0,CFSE_NaAz
6363,161,0,0,CFSE_NaAz
3698,103,1,0,CFSE_NaAz
1775,24,0,0,CFSE_NaAz
7222,138,0,0,CFSE_NaAz
14129,12,0,0,CFSE_NaAz
6623,219,0,0,CFSE_NaAz
1765,85,0,0,CFSE_NaAz
10531,16,0,0,CFSE_NaAz
2348,100,0,0,CFSE_NaAz
8329,33,1,0,CFSE_NaAz
4106,2,1,0,CFSE_NaAz
977,8,0,0,CFSE_NaAz
13213,11,1,0,CFSE_NaAz
1089,1,0,0,CFSE_NaAz
8983,30,0,0,CFSE_NaAz
17985,70,0,0,CFSE_NaAz
1151,22,0,0,CFSE_NaAz
127,44,0,0,CFSE_NaAz
245,78,0,0,CFSE_NaAz
559,46,0,0,CFSE_NaAz
8964,33,0,0,CFSE_NaAz
2498,18,0,0,CFSE_NaAz
11252,55,0,0,CFSE_NaAz
7535,2,0,0,CFSE_NaAz
4003,61,0,0,CFSE_NaAz
4631,94,0,0,CFSE_NaAz
819,41,1,0,CFSE_NaAz
1098,13,0,0,CFSE_NaAz
4726,61,0,0,CFSE_NaAz
1068,31,0,0,CFSE_NaAz
1219,15,0,0,CFSE_NaAz
5128,57,0,0,CFSE_NaAz
465,74,0,0,CFSE_NaAz
8338,50,0,0,CFSE_NaAz
2815,19,0,0,CFSE_NaAz
7748,146,0,0,CFSE_NaAz
655,94,0,0,CFSE_NaAz
7202,117,0,0,CFSE_NaAz
4381,145,0,0,CFSE_NaAz
